2018-11-20T13:12:55.619274 вызвана функция add с аргументами {} и результатом 2 
2018-11-20T13:13:41.057200 вызвана функция add с аргументами (1, 1) и результатом 2 
2018-11-20T13:18:34.685233 вызвана функция add с аргументами (1, 1) и результатом 2 
2018-11-20T13:25:37.924601 вызвана функция add с аргументами (1, 1) и результатом 2 
2018-11-20T13:29:04.154798 вызвана функция add с аргументами (1, 1) и результатом 2 
2018-11-20T13:30:08.350345 вызвана функция add с аргументами (1, 1) и результатом 2 
2018-11-20T13:40:25.802213 вызвана функция add с аргументами (<class '__main__.CalcModel'>, 1, 1) и результатом 2 
2018-11-20T13:47:40.180865 вызвана функция add с аргументами (1, 1) и результатом 2 
2018-11-20T13:48:11.098255 вызвана функция add с аргументами (1, 1) и результатом 2 
2018-11-20T13:48:25.316650 вызвана функция add с аргументами (4, 4) и результатом 8 
2018-11-20T13:51:05.732659 вызвана функция add с аргументами (1, 1) и результатом 2 
2018-11-20T13:51:56.558985 вызвана функция add с аргументами (1, 1) и результатом 2 
2018-11-20T13:52:08.565133 вызвана функция add с аргументами (1, 1) и результатом 2 
2018-11-20T13:53:33.582291 вызвана функция add с аргументами (1, 1) и результатом None 
2018-11-20T13:57:33.127238 вызвана функция add с аргументами (3, 4) и результатом 7 
2018-11-20T13:59:39.505950 вызвана функция add с аргументами (5, 6) и результатом 11 
2018-11-20T14:03:24.804793 вызвана функция add с аргументами (3, 4) и результатом 7 
